GEO.id,GEO.id2,GEO.display-label,GCT_STUB.target-geo-id,GCT_STUB.target-geo-id2,GCT_STUB.display-label,GCT_STUB.display-label,HD01,HD02,SUBHD0301,SUBHD0302,SUBHD0303,SUBHD0401,SUBHD0402
Id,Id2,Geography,Target Geo Id,Target Geo Id2,Geographic area,Geographic area,Population,Housing units,Area in square miles - Total area,Area in square miles - Water area,Area in square miles - Land area,Density per square mile of land area - Population,Density per square mile of land area - Housing units
0500000US06037,06037,"Los Angeles County, California",1400000US06037104500,06037104500,Los Angeles County - Census Tract 1045,Census Tract 1045,3293,748,0.21,0.00,0.21,16061.7,3648.4
0500000US06037,06037,"Los Angeles County, California",1400000US06037104610,06037104610,Los Angeles County - Census Tract 1046.10,Census Tract 1046.10,3672,785,0.23,0.00,0.23,16061.2,3433.6
0500000US06037,06037,"Los Angeles County, California",1400000US06037104620,06037104620,Los Angeles County - Census Tract 1046.20,Census Tract 1046.20,3539,796,0.21,0.00,0.21,17256.2,3881.3
0500000US06037,06037,"Los Angeles County, California",1400000US06037104701,06037104701,Los Angeles County - Census Tract 1047.01,Census Tract 1047.01,4208,931,0.21,0.00,0.21,19797.7,4380.1
0500000US06037,06037,"Los Angeles County, California",1400000US06037104703,06037104703,Los Angeles County - Census Tract 1047.03,Census Tract 1047.03,2397,584,0.45,0.00,0.45,5306.9,1293.0
0500000US06037,06037,"Los Angeles County, California",1400000US06037104704,06037104704,Los Angeles County - Census Tract 1047.04,Census Tract 1047.04,4219,1159,0.64,0.00,0.64,6572.1,1805.4
0500000US06037,06037,"Los Angeles County, California",1400000US06037104810,06037104810,Los Angeles County - Census Tract 1048.10,Census Tract 1048.10,5328,1132,0.43,0.00,0.43,12284.1,2609.9
0500000US06037,06037,"Los Angeles County, California",1400000US06037104821,06037104821,Los Angeles County - Census Tract 1048.21,Census Tract 1048.21,3514,834,0.21,0.00,0.21,17113.9,4061.8
0500000US06037,06037,"Los Angeles County, California",1400000US06037104822,06037104822,Los Angeles County - Census Tract 1048.22,Census Tract 1048.22,2277,614,0.24,0.00,0.24,9688.4,2612.5
0500000US06037,06037,"Los Angeles County, California",1400000US06037106010,06037106010,Los Angeles County - Census Tract 1060.10,Census Tract 1060.10,3152,962,0.97,0.00,0.97,3238.3,988.3
